Fecha,SIMEVEC,VITROA,ALPEKA,AUTLANB,CEMEX,ELEMENT,GCC,GMEXICOB,PAPPEL,PEÑOLES
03.08.2020,0.001071008,-0.002582868,-0.004005728,0.082147972,0.030327234,0,-0.00105037,0.014132014,0.062183808,0.013608094
31.07.2020,-0.001713063,0.023929791,-0.002851442,0.006872879,0.007358385,0,0.014225538,-0.009032205,-0.017732045,-0.010066897
30.07.2020,0.013353634,-0.00876814,-0.015258844,0.115630182,-0.017569998,0,-0.012888512,-0.052042309,-0.039220713,-0.020448317
29.07.2020,-0.005190323,0,-0.007821269,0.039478811,0.016093983,0.04886709,0.024279376,-0.028542728,-0.024749465,-0.008550292
28.07.2020,-0.034763992,-0.01344048,-0.010517672,0,-0.00294551,0,0.001077639,0.033239935,0.006845435,-0.032367498
27.07.2020,0.002294297,0.020009367,0.001653348,0.041101676,0.08594243,0.017930391,0.018200305,0.00827358,0.06198502,0.124075924
24.07.2020,-0.021279596,-0.025592375,0.003868477,-0.051782685,-0.006389798,0,0.002198462,0.016410625,0.041659739,0.045553169
23.07.2020,0.01544989,-0.000428174,0.001662511,0,-0.00159109,0,0.008741578,0.016333986,0.009569451,0.020777091
22.07.2020,0.020342528,-0.005549641,0.004446922,-0.00132714,0.003184716,0.003294896,0.000605694,0.049561309,-0.005752652,0.117287127
21.07.2020,0.025969911,-0.011007732,-0.000556948,0.005319161,-0.004773279,-0.022839492,0.011169897,-0.00770222,-0.003816799,0.038170199
20.07.2020,-0.012961944,0.011007732,-0.007212237,-0.006644543,-0.011049836,0.012987196,0.006967955,0.003660326,0.006369448,0.043360973
17.07.2020,0.032281974,-0.001276324,0.026892377,0,-0.010929071,0.028170877,0.002058673,-0.010033834,-0.014589539,0.035846736
16.07.2020,0.011370092,0.055958654,-0.005662529,-0.017071984,0.012500163,-0.00836825,-0.044339757,-0.014596169,-0.004398373,0.000171563
15.07.2020,0.002019976,-0.01162284,0.042682373,-0.002600782,0.036833627,0.015113638,0.060021058,0.000357846,-0.033901552,0.007750975
14.07.2020,-0.008723912,-0.00354925,-0.03588348,-0.023107575,-0.009740337,-0.001690617,-0.014340888,-0.021947784,0.001212856,-0.015825354
13.07.2020,0.064627612,-0.000885348,-0.004537728,-0.001268231,0.037864606,-0.021721823,0.040856388,0.044022138,0.029558802,-0.002889193
10.07.2020,0.006435489,-0.013187004,0.00226629,0.024375806,-0.005020931,0.008298803,-0.01355772,-0.016511307,0,-0.016494525
09.07.2020,-0.030844117,0,-0.000567054,0.026317308,-0.048869659,-0.018167304,-0.002330016,0.002883404,0.004384598,0.03906381
08.07.2020,-0.001158614,-0.007829531,0.002838492,-0.026317308,-0.012638399,-0.008150004,-0.025174986,0.006336583,-0.004384598,-0.022441997
07.07.2020,-0.111847075,0.014840953,0.005129678,0.026317308,-0.009375069,0,-0.010569079,0.006742622,-0.009950331,-0.006597613
06.07.2020,0.001865479,-0.043457042,-0.001712818,-0.002663117,0,-0.004858309,-0.007322315,0.009738249,-0.014742282,0.029126404
03.07.2020,-0.013395357,-0.01296818,0.001141553,0.036564669,0.007806441,0.016287005,0.02482688,-0.008640554,0,-0.008125909
02.07.2020,0.001229005,-0.01648842,0.001142857,-0.028553945,0.022187915,-0.071289084,-0.004146373,0.027465078,0.004277428,-0.001118616
01.07.2020,-0.001842941,-0.018631564,0,-0.018592833,-0.037740328,-0.010646488,-0.000310286,-0.005254281,-0.005496197,-0.008946786
30.06.2020,-0.020452267,0.016997576,0.019048195,0.030730541,0.00464038,0.010646488,-0.005260184,0.011293175,0.012255055,0.022540657
29.06.2020,0.023525725,0.043802623,0.007604599,0.037322922,0.02671015,-0.028637978,0.043091997,0.007218876,0.011159446,0.042790848
26.06.2020,-0.000410341,0.003845337,-0.007021679,-0.019526422,-0.014229489,-0.039335005,0.008954157,-0.00228528,0.00249688,-0.003542238
25.06.2020,-0.038826158,0.030865306,0.009373238,-0.001380262,0.017419284,0.027518029,0.005324074,-0.000760601,-0.028951822,-9.06618E-05
